#feature                                                         ;occurence
CONFIG_X86_L1_CACHE_SHIFT                                       ;100
CONFIG_X86_ALIGNMENT_16                                         ;18
CONFIG_X86_TSC                                                  ;95
CONFIG_X86_CMPXCHG64                                            ;89
CONFIG_X86_MINIMUM_CPU_FAMILY                                   ;100
CONFIG_X86_DEBUGCTLMSR                                          ;86
CONFIG_PROCESSOR_SELECT                                         ;40
CONFIG_CPU_SUP_CYRIX_32                                         ;33
CONFIG_CPU_SUP_CENTAUR                                          ;81
CONFIG_CPU_SUP_TRANSMETA_32                                     ;37
CONFIG_CPU_SUP_UMC_32                                           ;29
CONFIG_HPET_TIMER                                               ;76
CONFIG_HPET_EMULATE_RTC                                         ;25
CONFIG_DMI                                                      ;65
CONFIG_SWIOTLB                                                  ;81
CONFIG_IOMMU_HELPER                                             ;81
CONFIG_NR_CPUS                                                  ;100
CONFIG_PREEMPT_NONE                                             ;32
CONFIG_PREEMPT_COUNT                                            ;68
CONFIG_X86_MCE                                                  ;58
CONFIG_X86_ANCIENT_MCE                                          ;15
CONFIG_TOSHIBA                                                  ;30
CONFIG_X86_REBOOTFIXUPS                                         ;32
CONFIG_X86_MSR                                                  ;68
CONFIG_X86_CPUID                                                ;61
CONFIG_HIGHMEM64G                                               ;17
CONFIG_VMSPLIT_2G                                               ;6
CONFIG_PAGE_OFFSET                                              ;48
CONFIG_HIGHMEM                                                  ;32
CONFIG_X86_PAE                                                  ;28
CONFIG_ARCH_PHYS_ADDR_T_64BIT                                   ;80
CONFIG_ARCH_DMA_ADDR_T_64BIT                                    ;69
CONFIG_ARCH_FLATMEM_ENABLE                                      ;45
CONFIG_ARCH_SPARSEMEM_ENABLE                                    ;100
CONFIG_ARCH_SELECT_MEMORY_MODEL                                 ;100
CONFIG_ILLEGAL_POINTER_VALUE                                    ;100
CONFIG_SELECT_MEMORY_MODEL                                      ;100
CONFIG_FLATMEM_MANUAL                                           ;27
CONFIG_FLATMEM                                                  ;27
CONFIG_FLAT_NODE_MEM_MAP                                        ;28
CONFIG_SPARSEMEM_STATIC                                         ;48
CONFIG_HAVE_MEMBLOCK                                            ;100
CONFIG_HAVE_MEMBLOCK_NODE_MAP                                   ;100
CONFIG_HAVE_GENERIC_GUP                                         ;100
CONFIG_ARCH_DISCARD_MEMBLOCK                                    ;100
CONFIG_SPLIT_PTLOCK_CPUS                                        ;100
CONFIG_ARCH_ENABLE_SPLIT_PMD_PTLOCK                             ;80
CONFIG_MEMORY_BALLOON                                           ;64
CONFIG_COMPACTION                                               ;73
CONFIG_MIGRATION                                                ;89
CONFIG_PHYS_ADDR_T_64BIT                                        ;80
CONFIG_VIRT_TO_BUS                                              ;100
CONFIG_KSM                                                      ;47
CONFIG_DEFAULT_MMAP_MIN_ADDR                                    ;100
CONFIG_ARCH_SUPPORTS_MEMORY_FAILURE                             ;46
CONFIG_TRANSPARENT_HUGEPAGE                                     ;50
CONFIG_TRANSPARENT_HUGEPAGE_ALWAYS                              ;20
CONFIG_TRANSPARENT_HUGE_PAGECACHE                               ;50
CONFIG_NEED_PER_CPU_KM                                          ;53
CONFIG_CLEANCACHE                                               ;47
CONFIG_ZBUD                                                     ;59
CONFIG_GENERIC_EARLY_IOREMAP                                    ;100
CONFIG_ARCH_SUPPORTS_DEFERRED_STRUCT_PAGE_INIT                  ;100
CONFIG_IDLE_PAGE_TRACKING                                       ;49
CONFIG_FRAME_VECTOR                                             ;42
CONFIG_X86_RESERVE_LOW                                          ;100
CONFIG_MATH_EMULATION                                           ;15
CONFIG_X86_SMAP                                                 ;56
CONFIG_HZ_250                                                   ;35
CONFIG_HZ                                                       ;100
CONFIG_PHYSICAL_START                                           ;100
CONFIG_PHYSICAL_ALIGN                                           ;100
CONFIG_MODIFY_LDT_SYSCALL                                       ;57
CONFIG_ARCH_ENABLE_MEMORY_HOTPLUG                               ;84
CONFIG_SUSPEND                                                  ;48
CONFIG_SUSPEND_FREEZER                                          ;48
CONFIG_SUSPEND_SKIP_SYNC                                        ;20
CONFIG_PM_SLEEP                                                 ;60
CONFIG_PM_AUTOSLEEP                                             ;27
CONFIG_PM_WAKELOCKS                                             ;32
CONFIG_PM_WAKELOCKS_LIMIT                                       ;32
CONFIG_PM                                                       ;75
CONFIG_SFI                                                      ;53
CONFIG_X86_APM_BOOT                                             ;21
CONFIG_APM                                                      ;21
CONFIG_APM_IGNORE_USER_SUSPEND                                  ;12
CONFIG_APM_ALLOW_INTS                                           ;9
CONFIG_CPU_FREQ                                                 ;61
CONFIG_CPU_FREQ_GOV_ATTR_SET                                    ;58
CONFIG_CPU_FREQ_GOV_COMMON                                      ;55
CONFIG_CPU_FREQ_STAT                                            ;31
CONFIG_CPU_FREQ_DEFAULT_GOV_POWERSAVE                           ;8
CONFIG_CPU_FREQ_GOV_PERFORMANCE                                 ;52
CONFIG_CPU_FREQ_GOV_POWERSAVE                                   ;44
CONFIG_CPU_FREQ_GOV_USERSPACE                                   ;35
CONFIG_CPU_FREQ_GOV_ONDEMAND                                    ;41
CONFIG_X86_POWERNOW_K6                                          ;14
CONFIG_X86_POWERNOW_K7                                          ;15
CONFIG_X86_SPEEDSTEP_ICH                                        ;19
CONFIG_X86_SPEEDSTEP_SMI                                        ;17
CONFIG_X86_LONGRUN                                              ;18
CONFIG_X86_SPEEDSTEP_LIB                                        ;47
CONFIG_X86_SPEEDSTEP_RELAXED_CAP_CHECK                          ;10
CONFIG_PCI_LOCKLESS_CONFIG                                      ;100
CONFIG_PCI_LABEL                                                ;78
CONFIG_PCI_ENDPOINT                                             ;56
CONFIG_PCI_ENDPOINT_CONFIGFS                                    ;28
CONFIG_PCI_EPF_TEST                                             ;40
CONFIG_ISA_DMA_API                                              ;81
CONFIG_SCx200                                                   ;25
CONFIG_SCx200HR_TIMER                                           ;16
CONFIG_ALIX                                                     ;23
CONFIG_GEOS                                                     ;15
CONFIG_HAVE_AOUT                                                ;48
CONFIG_BINFMT_AOUT                                              ;31
CONFIG_BINFMT_MISC                                              ;68
