xp; xp_val; conf; conf_val
VIDEO_CX88_DVB; y; VIDEO_CX88_DVB; y
USER_STACKTRACE_SUPPORT; y; USER_STACKTRACE_SUPPORT; y
DVB_STV090x; y; DVB_STV090x; y
FB_UDL; y; FB_UDL; y
MMU; y; MMU; y
HID_PICOLCD; y; HID_PICOLCD; y
HID_PICOLCD_FB; y; HID_PICOLCD_FB; y
FB_METRONOME; y; FB_METRONOME; y
XEN_FBDEV_FRONTEND; y; XEN_FBDEV_FRONTEND; y
FB_DEFERRED_IO; y; FB_DEFERRED_IO; y
FB_SMSCUFX; y; FB_SMSCUFX; y
SND_SOC_ADAU1781; y; SND_SOC_ADAU1781; y
SND_SOC_ADAU1781_SPI; y; SND_SOC_ADAU1781_SPI; y
SND_SOC_ADAU1781_I2C; y; SND_SOC_ADAU1781_I2C; y
XFRM; y; XFRM; y
HAVE_MMIOTRACE_SUPPORT; y; HAVE_MMIOTRACE_SUPPORT; y
MDIO_BUS_MUX_MMIOREG; y; MDIO_BUS_MUX_MMIOREG; y
OF_MDIO; y; OF_MDIO; y
MDIO_BUS; y; MDIO_BUS; y
MOUSE_ELAN_I2C; y; MOUSE_ELAN_I2C; y
SND_SOC_WM8728; y; SND_SOC_WM8728; y
SND_SOC_I2C_AND_SPI; y; SND_SOC_I2C_AND_SPI; y
PARPORT_PC; y; PARPORT_PC; y
ARCH_MIGHT_HAVE_PC_PARPORT; y; ARCH_MIGHT_HAVE_PC_PARPORT; y
PCCARD; y; PCCARD; y
IIO_BUFFER; y; IIO_BUFFER; y
IIO_TRIGGERED_BUFFER; y; IIO_TRIGGERED_BUFFER; y
HID_SENSOR_IIO_COMMON; y; HID_SENSOR_IIO_COMMON; y
ADE7758; y; ADE7758; y
HID_SENSOR_IIO_TRIGGER; y; HID_SENSOR_IIO_TRIGGER; y
IIO_TRIGGER; y; IIO_TRIGGER; y
FB_TRIDENT; y; FB_TRIDENT; y
BCMA; y; BCMA; y
BCMA_HOST_PCI_POSSIBLE; y; BCMA_HOST_PCI_POSSIBLE; y
VIDEOBUF2_CORE; y; VIDEOBUF2_CORE; y
VIDEOBUF2_DMA_SG; y; VIDEOBUF2_DMA_SG; y
VIDEOBUF2_DMA_CONTIG; y; VIDEOBUF2_DMA_CONTIG; y
VIDEOBUF2_DVB; y; VIDEOBUF2_DVB; y
VIDEOBUF2_VMALLOC; y; VIDEOBUF2_VMALLOC; y
IOSCHED_CFQ; y; IOSCHED_CFQ; y
CRYPTO_DEV_QAT_C62X; y; CRYPTO_DEV_QAT_C62X; y
WIRELESS; y; WIRELESS; y
SERIAL_8250_NR_UARTS; 1; ; 
DRM_VBOXVIDEO; y; DRM_VBOXVIDEO; y
SND_BFIN_AD73311_SE; 4; ; 
FB_OMAP2_DSS_MIN_FCK_PER_PCK; 1; ; 
MAC80211_DEBUG_MENU; y; MAC80211_DEBUG_MENU; y
CRYPTO_SHA1; y; CRYPTO_SHA1; y
AD7298; y; AD7298; y
PINCTRL_MT2701; y; PINCTRL_MT2701; y
VIDEO_TDA7432; y; VIDEO_TDA7432; y
PINCTRL_MT8135; y; PINCTRL_MT8135; y
NF_LOG_NETDEV; y; NF_LOG_NETDEV; y
LEDS_TRIGGERS; y; LEDS_TRIGGERS; y
STACKTRACE_SUPPORT; y; STACKTRACE_SUPPORT; y
DVB_TUNER_DIB0070; y; DVB_TUNER_DIB0070; y
DVB_USB_DIB0700; y; DVB_USB_DIB0700; y
REGMAP; y; REGMAP; y
SND_SOC_TEGRA20_SPDIF; y; SND_SOC_TEGRA20_SPDIF; y
HAVE_FENTRY; y; HAVE_FENTRY; y
INITRAMFS_SOURCE; ""; ; 
INITRAMFS_ROOT_GID; 1; ; 
BT_HCIUART; y; BT_HCIUART; y
BT; y; BT; y
PM; y; PM; y
BT_HCIUART_QCA; y; BT_HCIUART_QCA; y
BT_HCIUART_H4; y; BT_HCIUART_H4; y
BT_HCIUART_INTEL; y; BT_HCIUART_INTEL; y
NETFILTER_NETLINK_LOG; y; NETFILTER_NETLINK_LOG; y
WLAN_VENDOR_INTERSIL; y; WLAN_VENDOR_INTERSIL; y
ARCH_HAS_DEBUG_VIRTUAL; y; ARCH_HAS_DEBUG_VIRTUAL; y
SND_SOC_INTEL_BYT_CHT_DA7213_MACH; y; SND_SOC_INTEL_BYT_CHT_DA7213_MACH; y
SND_SOC_CS4271_I2C; y; SND_SOC_CS4271_I2C; y
PRINTK; y; PRINTK; y
LOG_CPU_MAX_BUF_SHIFT; 1; ; 
FB_OMAP2_NUM_FBS; 0; ; 
HAVE_KERNEL_LZO; y; HAVE_KERNEL_LZO; y
