option,type
HISAX_ST5481,TRISTATE
HW_RANDOM_IPROC_RNG200,TRISTATE
SND_SOC_SIRF_AUDIO,TRISTATE
PWM_IMX,TRISTATE
CLKDEV_LOOKUP,BOOL
PL320_MBOX,BOOL
CIFS_XATTR,BOOL
INET_IPCOMP,TRISTATE
ISDN_HDLC,TRISTATE
B43LEGACY_DMA_AND_PIO_MODE,BOOL
HW_RANDOM_GEODE,TRISTATE
SND_SOC_SIRF_AUDIO_CODEC,TRISTATE
TOUCHSCREEN_MAX11801,TRISTATE
SND_DESIGNWARE_PCM,BOOL
PWM_JZ4740,TRISTATE
CIFS_POSIX,BOOL
RESET_SUNXI,BOOL
INET_XFRM_TUNNEL,TRISTATE
HISAX_HFCUSB,TRISTATE
B43LEGACY_DMA_MODE,BOOL
HW_RANDOM_N2RNG,TRISTATE
SND_SOC_SIRF_AUDIO_PORT,TRISTATE
OMAP2PLUS_MBOX,TRISTATE
TOUCHSCREEN_MCS5000,TRISTATE
SND_SOC_FSL_ASRC,TRISTATE
PWM_LP3943,TRISTATE
CIFS_ACL,BOOL
HAVE_PERF_EVENTS,BOOL
KEXEC_BZIMAGE_VERIFY_SIG,BOOL
TEHUTI,TRISTATE
POWER_RESET_AT91_SAMA5D2_SHDWC,TRISTATE
ACPI_CMPC,TRISTATE
PCI_GOBIOS,BOOL
IP_VS_SH,TRISTATE
BLK_DEV_AMD74XX,TRISTATE
HAVE_PATA_PLATFORM,BOOL
PINCTRL_PFC_SH7264,BOOL
HIDRAW,BOOL
UCSI_ACPI,TRISTATE
EFI_VARS,TRISTATE
HAVE_PERF_EVENTS_NMI,BOOL
NET_VENDOR_TI,BOOL
POWER_RESET_AXXIA,BOOL
INTEL_CHT_INT33FE,TRISTATE
SIGNED_PE_FILE_VERIFICATION,BOOL
PCI_GOMMCONFIG,BOOL
IP_VS_SED,TRISTATE
BLK_DEV_ATIIXP,TRISTATE
ATA_NONSTANDARD,BOOL
USB_LED_TRIG,BOOL
GOOGLE_COREBOOT_TABLE,TRISTATE
HAVE_HARDLOCKUP_DETECTOR_PERF,BOOL
CRASH_DUMP,BOOL
POWER_RESET_BRCMKONA,BOOL
UHID,TRISTATE
INTEL_INT0002_VGPIO,TRISTATE
PCI_GOOLPC,BOOL
IP_VS_NQ,TRISTATE
BLK_DEV_CMD64X,TRISTATE
ATA_VERBOSE_ERROR,BOOL
IBMVETH,TRISTATE
PINCTRL_PFC_SH7269,BOOL
UWB_I1480U,TRISTATE
PERF_EVENTS,BOOL
KEXEC_JUMP,BOOL
TI_DAVINCI_EMAC,TRISTATE
POWER_RESET_BRCMSTB,BOOL
HID_GENERIC,TRISTATE
INTEL_HID_EVENT,TRISTATE
GOOGLE_COREBOOT_TABLE_ACPI,TRISTATE
RESET_TI_SCI,TRISTATE
OLPC,BOOL
IP_VS_SH_TAB_BITS,INT
BLK_DEV_TRIFLEX,TRISTATE
ATA_ACPI,BOOL
PWRSEQ_EMMC,TRISTATE
HAVE_PERF_REGS,BOOL
HIBERNATION,BOOL
IBM_EMAC,TRISTATE
TI_DAVINCI_MDIO,TRISTATE
POWER_RESET_GEMINI_POWEROFF,BOOL
HID_A4TECH,TRISTATE
INTEL_VBTN,TRISTATE
GOOGLE_COREBOOT_TABLE_OF,TRISTATE
PCI_BIOS,BOOL
IP_VS_FTP,TRISTATE
BLK_DEV_CY82C693,TRISTATE
SATA_ZPODD,BOOL
PINCTRL_PFC_SH73A0,BOOL
HAVE_PERF_USER_STACK_DUMP,BOOL
PHYSICAL_START,HEX
IBM_EMAC_RXB,INT
TI_DAVINCI_CPDMA,TRISTATE
POWER_RESET_GPIO,BOOL
HID_ACCUTOUCH,TRISTATE
PWRSEQ_SD8787,TRISTATE
INTEL_SCU_IPC_UTIL,TRISTATE
GOOGLE_MEMCONSOLE,TRISTATE
PCI_DIRECT,BOOL
IP_VS_NFCT,BOOL
BLK_DEV_CS5520,TRISTATE
SATA_PMP,BOOL
HAVE_RCU_TABLE_FREE,BOOL
IBM_EMAC_TXB,INT
TI_CPSW_PHY_SEL,BOOL
POWER_RESET_GPIO_RESTART,BOOL
USB_HID,TRISTATE
PWRSEQ_SIMPLE,TRISTATE
INTEL_MID_POWER_BUTTON,TRISTATE
GOOGLE_MEMCONSOLE_X86_LEGACY,TRISTATE
PCI_OLPC,BOOL
IP_VS_PE_SIP,TRISTATE
BLK_DEV_CS5530,TRISTATE
SATA_AHCI,TRISTATE
PINCTRL_PFC_SH7720,BOOL
HAVE_RCU_TABLE_INVALIDATE,BOOL
RANDOMIZE_BASE,BOOL
IBM_EMAC_POLL_WEIGHT,INT
TI_CPSW_ALE,TRISTATE
POWER_RESET_HISI,BOOL
HID_ACRUX,TRISTATE
MMC_BLOCK,TRISTATE
GOOGLE_MEMCONSOLE_COREBOOT,TRISTATE
PCI_DOMAINS,BOOL
NF_CONNTRACK_IPV4,TRISTATE
SATA_AHCI_PLATFORM,TRISTATE
INTEL_MFLD_THERMAL,TRISTATE
RESET_TI_SYSCON,TRISTATE
SERIAL_8250_EXAR_ST16C554,TRISTATE
SENSORS_XGENE,TRISTATE
IR_ITE_CIR,TRISTATE
RTC_HCTOSYS,BOOL
X86_AMD_PLATFORM_DEVICE,BOOL
ATM_ENI_BURST_TX_8W,BOOL
TOUCHSCREEN_MMS114,TRISTATE
FB_NUC900,TRISTATE
SND_ALS4000,TRISTATE
RTLWIFI_DEBUG_ST,BOOL
SERIAL_8250_HUB6,TRISTATE
IR_FINTEK,TRISTATE
USB_DWC3_DUAL_ROLE,BOOL
XGENE_SLIMPRO_MBOX,TRISTATE
MAX11100,TRISTATE
IOSF_MBI_DEBUG,BOOL
ATM_ENI_BURST_TX_4W,BOOL
TOUCHSCREEN_MELFAS_MIP4,TRISTATE
GPM1040A0_320X240,BOOL
SND_ALI5451,TRISTATE
RTC_HCTOSYS_DEVICE,STRING
RTS5208,TRISTATE
SERIAL_8250_SHARE_IRQ,BOOL
SENSORS_ACPI_POWER,TRISTATE
IR_MESON,TRISTATE
